# Time-averaged data for fix scalarOut
# TimeStep v_Dtwopoint v_DmolTwopoint v_DxMolTwopoint v_DyMolTwopoint v_DzMolTwopoint v_Dfitslope v_DmolFitslope v_DxMolFitslope v_DyMolFitslope v_DzMolFitslope v_Dvacf v_Dxvacf v_Dyvacf v_Dzvacf
800 0.000210841 2.27066e-05 6.61887e-06 3.15553e-05 2.99458e-05 0.000222674 2.48403e-05 2.03616e-05 4.12057e-05 1.29536e-05 -0.000255607 -0.00181094 0.00085955 0.000184567
810 0.000206841 2.34575e-05 5.79181e-06 3.85882e-05 2.59924e-05 0.000222365 2.4797e-05 2.00132e-05 4.10616e-05 1.33163e-05 -0.000278235 -0.00190559 0.000964105 0.000106774
820 0.000212835 2.47316e-05 5.28186e-06 4.64378e-05 2.24751e-05 0.000222018 2.478e-05 1.96607e-05 4.11044e-05 1.3575e-05 -0.000313497 -0.00196291 0.000983514 3.8907e-05
830 0.000212893 2.63606e-05 5.28763e-06 5.43069e-05 1.94872e-05 0.00022177 2.47996e-05 1.93163e-05 4.13363e-05 1.37462e-05 -0.000290189 -0.00190623 0.000930201 0.000105457
840 0.000223882 2.7971e-05 5.29455e-06 6.09905e-05 1.76281e-05 0.000221667 2.48573e-05 1.89847e-05 4.17315e-05 1.38557e-05 -0.000259754 -0.00207691 0.000997128 0.000300521
850 0.000228611 2.95631e-05 5.14348e-06 6.72381e-05 1.63077e-05 0.000221742 2.49495e-05 1.86634e-05 4.22591e-05 1.3926e-05 -0.000171712 -0.00220027 0.00103162 0.000653506
860 0.000234344 3.12353e-05 4.51406e-06 7.41866e-05 1.50052e-05 0.000222066 2.50774e-05 1.83441e-05 4.29233e-05 1.39647e-05 -0.000198346 -0.00230754 0.0010099 0.000702608
870 0.000242401 3.23979e-05 3.3665e-06 8.01138e-05 1.37135e-05 0.000222433 2.52327e-05 1.80143e-05 4.37123e-05 1.39715e-05 -0.000100853 -0.00223133 0.00112313 0.000805648
880 0.000238021 3.34477e-05 2.20286e-06 8.52238e-05 1.29164e-05 0.000222841 2.5407e-05 1.76688e-05 4.45977e-05 1.39545e-05 -0.000244392 -0.00234609 0.00102037 0.000592546
890 0.000230011 3.40694e-05 1.34711e-06 8.85843e-05 1.22767e-05 0.000223086 2.55949e-05 1.73123e-05 4.55484e-05 1.39241e-05 -0.000238175 -0.00221649 0.0010708 0.000431169
900 0.000218287 3.38033e-05 8.69099e-07 8.93417e-05 1.11992e-05 0.000223072 2.57798e-05 1.69535e-05 4.65111e-05 1.38749e-05 -0.000290487 -0.00232726 0.00109078 0.000365012
910 0.000216079 3.26294e-05 5.64434e-07 8.6991e-05 1.03329e-05 0.00022295 2.59419e-05 1.65986e-05 4.74217e-05 1.38053e-05 -0.000165726 -0.00212734 0.00106471 0.000565457
920 0.000214129 3.08234e-05 2.21499e-07 8.30969e-05 9.15185e-06 0.000222778 2.60652e-05 1.62482e-05 4.82293e-05 1.37179e-05 -0.000105915 -0.00199323 0.000939074 0.000736408
930 0.000194802 2.86074e-05 4.05322e-09 7.87084e-05 7.10963e-06 0.000222379 2.61408e-05 1.59027e-05 4.89225e-05 1.35972e-05 -0.000129326 -0.00174219 0.00075555 0.00059866
940 0.00018444 2.64015e-05 1.59176e-07 7.41276e-05 4.91782e-06 0.00022166 2.61666e-05 1.55677e-05 4.94975e-05 1.34346e-05 -0.000252319 -0.00166809 0.000660939 0.000250189
950 0.000172714 2.3936e-05 6.34479e-07 6.83504e-05 2.82321e-06 0.000220715 2.6144e-05 1.52505e-05 4.99495e-05 1.32319e-05 -0.00025555 -0.00166022 0.000629494 0.000264075
960 0.000167133 2.09141e-05 1.11801e-06 6.04592e-05 1.1651e-06 0.00021966 2.6064e-05 1.49536e-05 5.02417e-05 1.29966e-05 -0.000395006 -0.00176076 0.000570898 4.84581e-06
970 0.000163051 1.81397e-05 1.50656e-06 5.26791e-05 2.33274e-07 0.000218544 2.59258e-05 1.46745e-05 5.03605e-05 1.27425e-05 -0.00045687 -0.00189583 0.000568865 -4.36502e-05
980 0.000166594 1.62577e-05 2.02357e-06 4.67494e-05 2.27947e-12 0.000217456 2.57451e-05 1.44125e-05 5.03373e-05 1.24854e-05 -0.000444688 -0.0021279 0.000743313 5.05243e-05
990 0.000162282 1.54915e-05 2.88315e-06 4.3426e-05 1.65286e-07 0.000216383 2.55438e-05 1.41726e-05 5.02226e-05 1.22362e-05 -0.000385395 -0.00197633 0.000795086 2.50624e-05
1000 0.000158129 1.59986e-05 4.174e-06 4.32382e-05 5.83615e-07 0.000215301 2.53477e-05 1.39616e-05 5.00811e-05 1.20006e-05 -0.000428647 -0.00185163 0.000796988 -0.000231294
1010 0.000149923 1.72365e-05 5.48166e-06 4.47564e-05 1.47155e-06 0.000214089 2.51764e-05 1.37838e-05 4.9961e-05 1.17845e-05 -0.000475377 -0.00199138 0.000885795 -0.000320546
1020 0.000139337 1.87179e-05 6.13546e-06 4.69051e-05 3.11304e-06 0.000212696 2.5037e-05 1.36298e-05 4.98812e-05 1.15999e-05 -0.000575287 -0.0021845 0.000959434 -0.00050079
1030 0.000130969 2.05009e-05 6.17807e-06 5.00818e-05 5.24286e-06 0.000211187 2.49335e-05 1.34863e-05 4.98559e-05 1.14582e-05 -0.000636089 -0.00228626 0.000780552 -0.000402559
1040 0.000128043 2.23679e-05 5.9783e-06 5.38774e-05 7.24797e-06 0.000209633 2.48682e-05 1.33441e-05 4.9899e-05 1.13615e-05 -0.000612787 -0.00221053 0.000820763 -0.000448594
1050 0.000114688 2.40124e-05 5.72844e-06 5.75642e-05 8.74451e-06 0.000207927 2.48385e-05 1.32026e-05 5.00131e-05 1.12997e-05 -0.000494165 -0.0019194 0.000996924 -0.000560021
1060 0.000115046 2.50697e-05 4.81966e-06 6.05677e-05 9.82176e-06 0.000206193 2.48348e-05 1.30538e-05 5.01872e-05 1.12635e-05 -0.000428137 -0.00176122 0.00107008 -0.00059327
1070 0.000118699 2.49371e-05 3.5399e-06 6.07653e-05 1.05062e-05 0.00020452 2.48401e-05 1.28882e-05 5.0388e-05 1.12442e-05 -0.000530068 -0.0018466 0.00100103 -0.000744635
1080 0.000122151 2.35839e-05 2.11455e-06 5.76337e-05 1.10034e-05 0.000202978 2.48288e-05 1.27012e-05 5.05498e-05 1.12356e-05 -0.000567203 -0.00198356 0.00108547 -0.00080352
1090 0.000128284 2.19738e-05 1.05665e-06 5.31348e-05 1.17299e-05 0.00020156 2.47899e-05 1.24966e-05 5.06352e-05 1.12379e-05 -0.000555243 -0.0019393 0.00112774 -0.000854168
1100 0.000134914 2.01963e-05 4.1443e-07 4.73851e-05 1.27893e-05 0.000200296 2.47213e-05 1.22829e-05 5.06241e-05 1.1257e-05 -0.000613291 -0.00193741 0.00104631 -0.000948768
1110 0.000152038 1.83568e-05 7.81769e-08 4.11826e-05 1.38095e-05 0.000199313 2.46219e-05 1.20664e-05 5.05049e-05 1.12945e-05 -0.000584627 -0.00198885 0.000886258 -0.000651285
1120 0.000154113 1.65706e-05 1.5523e-09 3.4916e-05 1.47941e-05 0.000198471 2.44931e-05 1.18524e-05 5.02781e-05 1.13487e-05 -0.000573899 -0.00189157 0.000933535 -0.000763657
1130 0.000161315 1.46603e-05 1.45786e-07 2.8331e-05 1.55042e-05 0.000197777 2.43353e-05 1.16448e-05 4.99446e-05 1.14165e-05 -0.000548513 -0.00209296 0.0010858 -0.000638376
1140 0.000162322 1.27807e-05 5.48545e-07 2.13334e-05 1.64603e-05 0.000197171 2.41478e-05 1.14476e-05 4.95e-05 1.14958e-05 -0.00048389 -0.00197454 0.0010672 -0.000544323
1150 0.00015746 1.15952e-05 1.24108e-06 1.52561e-05 1.82883e-05 0.00019652 2.39387e-05 1.12652e-05 4.89533e-05 1.15977e-05 -0.000495842 -0.00180879 0.00101024 -0.000688972
1160 0.000148818 1.1147e-05 2.03796e-06 1.02655e-05 2.11375e-05 0.000195788 2.37218e-05 1.11009e-05 4.8327e-05 1.17375e-05 -0.000635974 -0.00197481 0.000760533 -0.000693649
1170 0.000137468 1.1104e-05 2.58645e-06 6.25092e-06 2.44746e-05 0.00019486 2.35073e-05 1.09525e-05 4.7641e-05 1.19286e-05 -0.000555223 -0.00178982 0.000649657 -0.000525503
1180 0.000125896 1.12454e-05 2.54758e-06 3.0906e-06 2.8098e-05 0.000193782 2.32992e-05 1.08119e-05 4.69132e-05 1.21726e-05 -0.000594707 -0.00172244 0.000491894 -0.000553575
1190 0.000113529 1.15591e-05 2.02464e-06 8.46397e-07 3.18062e-05 0.000192528 2.31005e-05 1.06693e-05 4.61584e-05 1.24738e-05 -0.000584388 -0.0014956 0.000470067 -0.000727634
1200 0.000108347 1.19205e-05 1.36781e-06 1.79636e-09 3.43918e-05 0.000191177 2.2912e-05 1.05198e-05 4.53976e-05 1.28187e-05 -0.000487236 -0.00154279 0.000484354 -0.000403268
1210 0.000101848 1.27452e-05 9.60489e-07 5.89438e-07 3.66858e-05 0.000189762 2.27381e-05 1.03651e-05 4.4655e-05 1.31941e-05 -0.000502953 -0.00146469 0.000378807 -0.000422977
1220 9.92137e-05 1.3634e-05 7.59491e-07 2.08085e-06 3.80616e-05 0.000188291 2.25833e-05 1.02097e-05 4.39491e-05 1.35913e-05 -0.000530962 -0.0014268 0.000211328 -0.000377415
1230 0.000100583 1.40787e-05 6.69693e-07 4.12182e-06 3.74445e-05 0.000186868 2.24432e-05 1.00559e-05 4.32894e-05 1.39845e-05 -0.000516298 -0.00142547 0.000211862 -0.000335288
1240 0.000101099 1.37162e-05 6.44558e-07 6.71027e-06 3.37937e-05 0.000185498 2.23069e-05 9.90487e-06 4.2683e-05 1.43328e-05 -0.000595533 -0.00139483 0.000169489 -0.000561259
1250 9.94614e-05 1.2954e-05 7.52214e-07 1.00028e-05 2.8107e-05 0.000184113 2.21632e-05 9.75807e-06 4.21381e-05 1.45933e-05 -0.000448577 -0.00116781 0.00033897 -0.000516887
